Designator,Footprint,Quantity,Value,LCSC Part #
D1,PinHeader_1x03_P2.54mm_Vertical,1,WS2812,
J1,Altech_AK100_1x02_P5.00mm,1,5v&GND,
J2,Altech_AK100_1x02_P5.00mm,1,12v&GND,
J3,PinHeader_1x02_P2.54mm_Vertical,1,USB_Debuging (remove to use),
"M1, M2",PinHeader_1x03_P2.54mm_Vertical,2,Motor_Servo,
U1,PinHeader_1x04_P2.54mm_Vertical,1,Temp&Humidity,
U2,MOSFET_KIT,1,Fan1,
U3,PinHeader_1x03_P2.54mm_Vertical,1,Soil_Moisture_sensor,
U4,TFT_SCREEN,1,TFT_ILI9341_arduino_Sheid,
U5,ESP32-S3-DEVKITC-1,1,ESP32-S3,
U6,MOSFET_KIT,1,Pump,
U7,PinHeader_1x04_P2.54mm_Vertical,1,Light_Sensor,
U8,MOSFET_KIT,1,Fan2,
U9,MOSFET_KIT,1,Platier,
